HCP_ID,HCP_Name,Specialty,Patient_Load,Actual_Uptake,Segment
HCP_0067,Dr. Nguyễn Văn P,Ung bướu,45,0.89162813337961,High Pot - Low Uptake
HCP_0068,Dr. Nguyễn Văn Q,Y học dự phòng,202,0.21097274733581975,Low Pot - High Uptake
HCP_0069,Dr. Nguyễn Văn R,Nhi khoa,211,0.7022178133903038,High Pot - High Uptake
HCP_0070,Dr. Nguyễn Văn S,Ung bướu,223,0.3459318421059739,Low Pot - High Uptake
HCP_0071,Dr. Nguyễn Văn T,Y học dự phòng,69,0.7901584990198746,Low Pot - High Uptake
HCP_0072,Dr. Nguyễn Văn U,Sản phụ khoa,92,0.7251785878162614,Low Pot - Low Uptake
HCP_0073,Dr. Nguyễn Văn V,Ung bướu,192,0.13127496363408558,High Pot - Low Uptake
HCP_0074,Dr. Nguyễn Văn W,Ung bướu,241,0.7355195401948714,High Pot - High Uptake
HCP_0075,Dr. Nguyễn Văn X,Ung bướu,33,0.430344130035329,High Pot - High Uptake
HCP_0076,Dr. Nguyễn Văn Y,Y học dự phòng,73,0.6634445393804287,High Pot - Low Uptake
HCP_0077,Dr. Nguyễn Văn Z,Y học dự phòng,206,0.8814678511359602,High Pot - High Uptake
HCP_0078,Dr. Nguyễn Văn A,Sản phụ khoa,175,0.6547890970662233,Low Pot - High Uptake
HCP_0079,Dr. Nguyễn Văn B,Ung bướu,79,0.38864301053671735,High Pot - High Uptake
HCP_0080,Dr. Nguyễn Văn C,Y học dự phòng,115,0.5268767774084795,Low Pot - High Uptake
HCP_0081,Dr. Nguyễn Văn D,Nhi khoa,204,0.6771899651812988,High Pot - Low Uptake
HCP_0082,Dr. Nguyễn Văn E,Y học dự phòng,195,0.13754309202443366,Low Pot - Low Uptake
HCP_0083,Dr. Nguyễn Văn F,Ung bướu,58,0.28382280271916327,High Pot - Low Uptake
HCP_0084,Dr. Nguyễn Văn G,Ung bướu,229,0.22246856023842262,High Pot - High Uptake
HCP_0085,Dr. Nguyễn Văn H,Y học dự phòng,134,0.8355819196851536,Low Pot - Low Uptake
HCP_0086,Dr. Nguyễn Văn I,Y học dự phòng,126,0.8812784968897737,Low Pot - High Uptake
HCP_0087,Dr. Nguyễn Văn J,Y học dự phòng,65,0.7070279421187942,High Pot - Low Uptake
HCP_0088,Dr. Nguyễn Văn K,Ung bướu,155,0.8680027646747596,Low Pot - Low Uptake
HCP_0089,Dr. Nguyễn Văn L,Ung bướu,142,0.7168672632319034,High Pot - High Uptake
HCP_0090,Dr. Nguyễn Văn M,Sản phụ khoa,174,0.5285374253092042,Low Pot - High Uptake
HCP_0091,Dr. Nguyễn Văn N,Y học dự phòng,138,0.7228915833018383,High Pot - High Uptake
HCP_0092,Dr. Nguyễn Văn O,Sản phụ khoa,197,0.3143983345604271,High Pot - Low Uptake
HCP_0093,Dr. Nguyễn Văn P,Y học dự phòng,223,0.25719621603149695,High Pot - Low Uptake
HCP_0094,Dr. Nguyễn Văn Q,Nhi khoa,207,0.3802309010235104,Low Pot - High Uptake
HCP_0095,Dr. Nguyễn Văn R,Ung bướu,212,0.7710993575787168,Low Pot - Low Uptake
HCP_0096,Dr. Nguyễn Văn S,Sản phụ khoa,239,0.29678833748781686,High Pot - High Uptake
HCP_0097,Dr. Nguyễn Văn T,Ung bướu,188,0.7622514037900798,Low Pot - High Uptake
HCP_0098,Dr. Nguyễn Văn U,Sản phụ khoa,171,0.3206655281119063,Low Pot - Low Uptake
HCP_0099,Dr. Nguyễn Văn V,Nhi khoa,40,0.18267602033038496,High Pot - High Uptake
HCP_0100,Dr. Nguyễn Văn W,Nhi khoa,42,0.24890041402103763,Low Pot - Low Uptake
